tweet_count,username,text,created_at,retweets,likes
1,Diário de Araxá,"Prisão por tráfico de drogas é realizada no Centro de Araxá

https://t.co/YGEj3TxHji https://t.co/wCuehRWigB",Wed Oct 01 14:40:23 +0000 2025,0,0,"droga, prisão, tráfico"
2,Cássio,"A situação da cidade de @Bauru,estamos em racionamento de água,e para ficarmos 14h com água mas no dia que a água e para vir não tem pressão para subir para as caixas para abastecer nossas casas.5 dias sem abastecer a caixa aqui em casa.
#BDSP @tvtembau #bauru #jdterrabrancabauru https://t.co/nuWJMCjbzj",Wed Oct 01 09:51:13 +0000 2025,0,1,água
3,Coitada,Não falamos do Bruno não não não falamos do Bruno,Wed Oct 01 14:43:07 +0000 2025,0,1,Nenhum
4,ؘ,"Perdeu tudo, morando em Bauru sem água e com tudo pegando fogo",Wed Oct 01 01:21:36 +0000 2025,2,5,"fogo, água"
5,Rafael Moia Filho,"Mais um incêndio criminoso na cidade de Bauru, onde convivemos com uma estiagem severa. Não chove há meses e os criminosos continuam ateando fogo em matas e vegetações na área urbana da cidade. Autoridades? Vão bem obrigado, mas não demonstram nenhuma preocupação com os desastres https://t.co/eb4R2UxTsm",Mon Sep 29 18:44:41 +0000 2025,0,5,"criminoso, fogo, incêndio, upa"
6,Henritado,Impossível dormir com esse calor e cheiro insuportável de queimada que está em Bauru,Wed Oct 01 03:07:08 +0000 2025,0,3,queimada
7,🦀Siri Rolinho🦀,"E agora a cidade inteira tá fumaça e fuligem e eu quero ver o que a desgraçada da prefeita vai falar, porque eu te amaldiçoo prefeitura de bauru, eu amaldiçoo seu solo profano construído em cima de queimada ilegal e nepotismo",Wed Oct 01 01:01:58 +0000 2025,7,26,"fumaça, prefeitura, queimada"
8,lessa,"[1/10 11:31]Clara: bebe bastante água p n se desidratar kkkk
[1/10 11:31]: agua Kkkkkkkkkkkkkkkkkkkkkkkkkkkkkk
[1/10 11:32]: Não tem água não
[1/10 11:32]: E matoooooo
[1/10 11:32]: Você não tá entendendo
[1/10 11:32]Clara: vai morrer de sede?
[1/10 11:32]: E p testar rusticidade",Wed Oct 01 14:40:57 +0000 2025,0,0,"morre, água"
9,Val,"@senadorhumberto IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA 
IR ZERO SEM ARMADILHA",Wed Oct 01 14:42:31 +0000 2025,0,1,Nenhum
10,BOLETIM DE OCORRÊNCIA 🇧🇷,#Boletim de #Ocorrência: DISQUE DENÚNCIA: Denuncie crimes e criminosos: 2253-1177 / @DDalertaRio (sigilo absoluto garantido). https://t.co/Aas9F7uGw7,Wed Oct 01 14:23:47 +0000 2025,0,0,"crime, criminoso"
